,state,date,Unnamed: 0.1.1,zipcode,temperature,precip,humidity,visibility,pressure,cloudcover,heatindex,dewpoint,windchill,windgust,feelslike,mintemp,maxtemp,avgtemp,totalsnow,sunhour
1994,Minnesota,2021-02-11,33658.0,55442.142857142855,-21.142857142857142,0.5571428571428572,92.28571428571429,7.285714285714286,1041.7142857142858,82.14285714285714,-25.142857142857142,-26.142857142857142,-32.42857142857143,14.0,-32.42857142857143,-28.857142857142858,-21.142857142857142,-24.142857142857142,0.3428571428571429,3.8000000000000003
1758,Kentucky,2021-02-11,33514.0,41054.333333333336,-2.111111111111111,4.433333333333334,90.55555555555556,6.0,1025.5555555555557,100.0,-3.4444444444444446,-4.777777777777778,-8.88888888888889,22.22222222222222,-8.88888888888889,-5.333333333333333,-2.111111111111111,-3.6666666666666665,2.0222222222222226,5.111111111111111
2112,Missouri,2021-02-11,33613.545454545456,64067.90909090909,-9.0,1.4909090909090912,88.45454545454545,7.2727272727272725,1031.6363636363637,99.54545454545455,-10.727272727272727,-12.181818181818182,-18.454545454545453,25.636363636363637,-18.454545454545453,-12.454545454545455,-9.0,-10.454545454545455,1.1363636363636365,3.9545454545454546
3471,Tennessee,2021-02-11,33718.857142857145,37583.892857142855,4.107142857142857,19.182142857142857,93.75,7.107142857142857,1020.8571428571429,97.42857142857143,3.1785714285714284,2.75,0.32142857142857145,17.571428571428573,0.32142857142857145,-2.0,4.107142857142857,2.8214285714285716,0.0,4.564285714285713
3707,Washington,2021-02-11,33762.066666666666,98584.26666666666,-3.466666666666667,7.820000000000001,67.73333333333333,6.6,1023.1333333333333,70.33333333333333,-4.6,-10.0,-8.866666666666667,15.333333333333334,-8.866666666666667,-6.333333333333333,-3.466666666666667,-4.6,6.193333333333333,4.453333333333332
3648,Virginia,2021-02-11,33740.78571428572,22365.85714285714,2.0714285714285716,7.714285714285713,93.30952380952381,5.809523809523809,1024.095238095238,99.52380952380952,0.7380952380952381,-0.19047619047619047,-2.261904761904762,14.404761904761905,-2.261904761904762,-1.4285714285714286,2.0714285714285716,1.2142857142857142,2.3976190476190484,3.9238095238095263
633,Delaware,2021-02-11,36814.75,19846.5,-0.25,6.7250000000000005,87.25,5.75,1025.5,91.25,-1.0,-3.0,-5.5,20.0,-5.5,-2.5,-0.25,-1.0,4.825,3.975
3530,Texas,2021-02-11,33843.5,76927.36538461539,8.51923076923077,7.6326923076923086,78.8076923076923,7.884615384615385,1018.75,95.23076923076923,7.346153846153846,3.6923076923076925,4.0576923076923075,25.557692307692307,4.0576923076923075,5.0576923076923075,8.51923076923077,7.134615384615385,0.00576923076923077,5.707692307692308
1817,Louisiana,2021-02-11,33579.26666666667,70660.73333333334,18.266666666666666,14.54,89.4,6.8,1016.2,80.86666666666666,16.333333333333332,13.866666666666667,14.8,19.6,14.866666666666667,12.333333333333334,18.266666666666666,16.333333333333332,0.0,4.1866666666666665
1935,Michigan,2021-02-11,33658.11111111111,48596.18518518518,-9.11111111111111,0.16666666666666666,87.96296296296296,8.703703703703704,1032.3333333333333,55.333333333333336,-12.444444444444445,-14.148148148148149,-18.074074074074073,15.25925925925926,-18.074074074074073,-16.62962962962963,-9.11111111111111,-12.74074074074074,0.07407407407407407,9.118518518518519
